pmid,year,title,authors,journal,category,tags,doi,pmc,url
42662751,2026,Mitochondrial remodeling after conventional and ultra-high dose rate irradiation in head and neck carcinoma cells in vitro.,Silva LL; Liu T; Hörberger F; Chamkha I; Li N; Ceberg C; Elmér E; Adrian G; Ehinger JK,Clinical and translational radiation oncology,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms; Radiobiology,10.1016/j.ctro.2026.101252,PMC13520611,https://pubmed.ncbi.nlm.nih.gov/42662751/
42662452,2026,"FLASH radiotherapy as an emerging paradigm in radioimmunotherapy: biological rationale, preclinical evidence, and translational roadmap.",Li D; Wang X; Lu S; Li L; Su Y; Wang X; Li Y; Lang J; Zhou J,Frontiers in immunology,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.3389/fimmu.2026.1869222,PMC13520774,https://pubmed.ncbi.nlm.nih.gov/42662452/
42648580,2026,FLASH Proton Radiotherapy Preserves Ocular Structure and Function Without Compromising Antitumor Efficacy.,Amit U; Bell BA; Hoyek EE; Velalopoulou A; Assenmacher CA; Kim MM; Verginadis II; Radaelli E; Ben-Josef E; Lee V; Dunaief JL; Koumenis C,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Clinical & Translational,10.1016/j.ijrobp.2026.08.045,,https://pubmed.ncbi.nlm.nih.gov/42648580/
42633859,2026,Combined ultra-high and conventional dose rate irradiation spares murine normal skin and intestine from radiation induced acute toxicity.,Sesink A; Soutter L; Böhlen TT; Geyer R; Moeckli R; Bailat C; Grilj V,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2026.111747,,https://pubmed.ncbi.nlm.nih.gov/42633859/
42633237,2026,"A Target-Specific, ""Eco-Friendly"" Experimental Setup for Small Field Proton Irradiation.",Colizzi I; Bornhauser Y; Lomax AJ; Meer D; Psoroulas S,International journal of particle therapy,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Physics & Dosimetry,10.1016/j.ijpt.2026.101953,PMC13499423,https://pubmed.ncbi.nlm.nih.gov/42633237/
42630800,2026,Proton Bragg peak flash stereotactic radiosurgery for recurrent glioblastoma reirradiation.,Ma Y; Wang Y; Zhang T; Zhao X; Selvaraj B; Cheng C; Pennock M; Jackson J; Guo W; Mou X; Durkee B; Choi JI; Lin H; Simone CB; Kang M; Wu H,Physics and imaging in radiation oncology,Radiobiology,Radiobiology,10.1016/j.phro.2026.101044,PMC13495584,https://pubmed.ncbi.nlm.nih.gov/42630800/
42625213,2026,"FLASH radiotherapy: physico-chemical considerations on ionisation tracks, radical reactions, and the role of oxygen.",Herskind C; O'Neill P; Horsman MR,"Radiation oncology (London, England)",Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms,10.1186/s13014-026-02907-9,PMC13495190,https://pubmed.ncbi.nlm.nih.gov/42625213/
42624158,2026,"Biologically optimized 3D range modulators for fast conformal carbon ion therapy:in vitrovalidation, treatment planning, and robustness analysis.",Ahn SHH; Filosa DI; Lysakovski P; Brons S; Abdollahi A; Debus J; Dokic I; Tessonnier T; Mairani A,Physics in medicine and biology,Treatment Planning & Optimization,Treatment Planning & Optimization; Radiobiology; Modeling & Mechanisms; Physics & Dosimetry; Beam Delivery & Technology; Clinical & Translational,10.1088/1361-6560/ae9c86,,https://pubmed.ncbi.nlm.nih.gov/42624158/
42608218,2026,Modeling and optimization of a multiple-ring double scattering system for proton therapy.,de Oliveira Lima JP; Weber A; Kourkafas G; Denker A; Heufelder J,Zeitschrift fur medizinische Physik,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology,10.1016/j.zemedi.2026.07.006,,https://pubmed.ncbi.nlm.nih.gov/42608218/
42591138,2026,Global clinical landscape and multidisciplinary translational frontiers of FLASH radiotherapy: a systematic review and visualized bibliometric mapping based on WoSCC and PubMed (2014-2025).,Di Y; Liu C; Wang Y; Cai B; Meng L,Frontiers in medicine,Reviews & Consensus,Reviews & Consensus; Physics & Dosimetry; Radiobiology; Modeling & Mechanisms; Clinical & Translational,10.3389/fmed.2026.1864006,PMC13461452,https://pubmed.ncbi.nlm.nih.gov/42591138/
42588638,2026,Towards FLASH Radiotherapy in Lung Cancer: A Review on Preclinical Evidence and Technical Feasibility.,Visser SN; Habraken SJM; Puspitasari-Kokko A; Zur Horst AH; Rasch CRN; van Doorn-Wink KCJ,Cancers,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms; Treatment Planning & Optimization; Clinical & Translational,10.3390/cancers18152418,PMC13464957,https://pubmed.ncbi.nlm.nih.gov/42588638/
42582154,2026,Early molecular changes induced by FLASH irradiation in MCF10A and MDA-MB-231 breast cell lines.,Minafra L; Calvaruso M; Pucci G; Sarnari F; Russo G; Bravatà V; Cammarata FP; Di Martino F; Cavalieri A; Bartolomei L; Grassi A; Dalfovo D; Romanel A; Bonanomi M; Croci S; Scifoni E; Bisio A; Forte GI,Frontiers in oncology,Radiobiology,Radiobiology,10.3389/fonc.2026.1857611,PMC13457129,https://pubmed.ncbi.nlm.nih.gov/42582154/
42575153,2026,"Laser-driven particle accelerators for cancer therapy: a review of state-of-the-art techniques, challenges and opportunities.",Alabd R; Franklin DR,Physics in medicine and biology,Reviews & Consensus,Reviews & Consensus; Beam Delivery & Technology; Radiobiology; Clinical & Translational,10.1088/1361-6560/ae97af,,https://pubmed.ncbi.nlm.nih.gov/42575153/
42574718,2026,Radiation protection strategies for FLASH radiotherapy accelerator installation in animal housing.,Russo G; Bonaccorsi SG; Leanza R; Costa M; Pucci G; Alberghina C; Cammarata FP; Volti GL; Parenti R,Radiation protection dosimetry,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms,10.1093/rpd/ncag079,,https://pubmed.ncbi.nlm.nih.gov/42574718/
42551487,2026,Conventional and ultra-high dose rate proton beam energy and output characterization using a high-resolution multi-layer Faraday cup.,Teng X; Friberg A; Alexander DA; Ota K; Nichols M; Boisseau P; Stappen FV; Gao Y; Setianegara J; Gu W; Diffenderfer ES; Teo BK; Yin L; Zou W,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms,10.1088/1361-6560/ae94d9,,https://pubmed.ncbi.nlm.nih.gov/42551487/
42563395,2026,TOPAS-nBio simulation of the impact of ultrahigh dose rate and oxygen concentration on the Fenton reaction using the Fricke solution.,Chaoui M; Shin WG; Bouhali O; Schuemann J; Ramos-Méndez J; Tayalati Y,Medical physics,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Physics & Dosimetry,10.1002/mp.70576,PMC13447943,https://pubmed.ncbi.nlm.nih.gov/42563395/
42556588,2026,Investigation of FLASH Proton Radiation Induced DNA Double Strand Breaks in Plasmid DNA Using Atomic Force Microscopy.,Pang D; Kaphle A; Yin L; Bai H; Wells M; Miles D; Sforza D; Li H; Jia X; Jung M; Unger K; Dritschilo A,"International journal of radiation oncology, biology, physics",Modeling & Mechanisms,Modeling & Mechanisms,10.1016/j.ijrobp.2026.07.043,,https://pubmed.ncbi.nlm.nih.gov/42556588/
42549040,2026,"Harnessing the sparing effect of FLASH-RT: From phenomenon observation, radiophysical determinants to molecular mechanisms and synergistic strategies.",Dou Z; Lei H; Yang J; Li M; Wang S; Bao X; Ma L; Li J; Yin Y; Dai T,Materials today. Bio,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms; Clinical & Translational; Physics & Dosimetry,10.1016/j.mtbio.2026.103487,PMC13430264,https://pubmed.ncbi.nlm.nih.gov/42549040/
42546758,2026,Pulse-resolved tumor control probability modeling for FLASH radiotherapy using a variable-time treatment-course framework.,Lee TK,Physics in medicine and biology,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Physics & Dosimetry,10.1088/1361-6560/ae944e,,https://pubmed.ncbi.nlm.nih.gov/42546758/
42541254,2026,Reduced corneal toxicity following whole brain irradiation in mice.,Pillai V; Landi S; Uccheddu F; Di Martino F; Cavalieri A; Paiar F; Capaccioli S; Cicchi R; Costa M,Clinical and translational radiation oncology,Radiobiology,Radiobiology,10.1016/j.ctro.2026.101235,PMC13427398,https://pubmed.ncbi.nlm.nih.gov/42541254/
42539085,2026,Review of oxygen measurement and relevance to the mechanisms of FLASH radiotherapy.,Pogue BW; Hunter DI; Narita C; Thomas WS; Cao X; Swartz HM,ArXiv,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology; Clinical & Translational,,PMC13419626,https://pubmed.ncbi.nlm.nih.gov/42539085/
42526495,2026,Evaluation of a simple graphite calorimeter for ultra-high dose-rate electron beam dosimetry.,Subiel A; Douralis A; Bass G; Shipley D; Flynn S; Romano F; Milluzzo G; Martino FD; Sarto DD; Masturzo L; Pensavalle J; Giuliano L; Palmans H,Physics in medicine and biology,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms,10.1088/1361-6560/ae9238,,https://pubmed.ncbi.nlm.nih.gov/42526495/
42525493,2026,Lighting up FLASH and beyond: TLD response across four orders of magnitude in proton dose rate.,Guan F; Tang J; Brookner A; Scott H; Vazquez I; Campelo S; Liu D; Mathew J; Bronk L; Li Y; Taylor P,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Modeling & Mechanisms; Beam Delivery & Technology,10.1002/mp.70556,PMC13420986,https://pubmed.ncbi.nlm.nih.gov/42525493/
42502287,2026,Commissioning and Validation of a Synchrocyclotron - Based Ultra-High-Dose-Rate Beamline for FLASH.,Lin Y; Setianegara J; Wang A; Gerard N; Nys J; Labarbe R; Traneus E; Gao H; Chen RC,International journal of particle therapy,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Treatment Planning & Optimization; Radiobiology; Modeling & Mechanisms,10.1016/j.ijpt.2026.101323,PMC13400413,https://pubmed.ncbi.nlm.nih.gov/42502287/
42482188,2026,Radiotherapy and tertiary lymphoid structures: balancing immune activation and immune damage in cancer immunotherapy.,Zhang Y; Li H; Lv S; Meng W; Guo J; Lu Y; Peng L; Chen W; Yang W; Peng X,Molecular cancer,Reviews & Consensus,Reviews & Consensus; Modeling & Mechanisms; Radiobiology,10.1186/s12943-026-02735-1,,https://pubmed.ncbi.nlm.nih.gov/42482188/
42480592,2026,Modeling and detection of acoustic waves induced by ultra-high-dose-rate electron beams from a radiotherapy linear accelerator.,Hu X; Yang Q; Zhou L; Wang J; Wu D,Biomedical physics & engineering express,Modeling & Mechanisms,Modeling & Mechanisms; Beam Delivery & Technology; Radiobiology; Physics & Dosimetry,10.1088/2057-1976/ae8dd6,,https://pubmed.ncbi.nlm.nih.gov/42480592/
42467876,2026,Influence of Fractionation and Beam Sequencing on Absorbed Dose to Circulating Lymphocytes During Ultra-High Dose Rate and Conventional Radiotherapy: An In Silico Study.,de Kermenguy F; Satragno C; El-Aichi M; Diallo I; Veres C; Talebi F; Schott C; Deutsch E; Robert C,JCO clinical cancer informatics,Radiobiology,Radiobiology; Modeling & Mechanisms,10.1200/CCI-26-00091,PMC13399734,https://pubmed.ncbi.nlm.nih.gov/42467876/
42465350,2026,Dosimetric Characterization and Workflow Optimization of the FLASH-SARRP for Reliable Preclinical Radiobiological Studies.,Knol M; Gonçalves-Jorge P; Kunz LV; Korysko P; Petit B; Durham A; Vozenin MC; Tsoutsou P; Koutsouvelis N; Lascaud J,bioRxiv : the preprint server for biology,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Beam Delivery & Technology,10.64898/2026.07.06.736680,PMC13370466,https://pubmed.ncbi.nlm.nih.gov/42465350/
42460930,2026,AREAL facility as a source of ultrashort pulsed electron beams and its contribution to radiobiological studies.,Nersesova L; Kalita E; Grigoryan B; Vardanyan A; Tatikyan S; Babayan N,International journal of radiation biology,Reviews & Consensus,Reviews & Consensus; Radiobiology; Beam Delivery & Technology; Modeling & Mechanisms,10.1080/09553002.2026.2699710,,https://pubmed.ncbi.nlm.nih.gov/42460930/
42459836,2026,Microenvironmental remodeling in FLASH radiotherapy.,Zhao Y; Li H; Zhong J; Xu J; Zhou L; Liu Y; Wang Y,Frontiers in cell and developmental biology,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms; Clinical & Translational; Physics & Dosimetry,10.3389/fcell.2026.1883109,PMC13368930,https://pubmed.ncbi.nlm.nih.gov/42459836/
42457184,2026,Changes in Yields of Water Radiolysis Species and Strand Breaks of Pbr322 Plasmid DNA under Ultra-high Dose Rate C Ions: Towards the Elucidation of the Mechanism of FLASH Radiotherapy.,Mamiya T; Kasamatsu K; Inaniwa T; Kurita K; Kodaira S; Konishi T; Kusumoto T,Radiation research,Modeling & Mechanisms,Modeling & Mechanisms; Radiobiology,10.1667/RADE-25-00210.1,,https://pubmed.ncbi.nlm.nih.gov/42457184/
42448000,2026,Mitochondrial Responses to Conventional and Ultra-High Dose Rate (FLASH) Radiation.,Caggiano EG; Elizondo ME; Hernandez AL; Waldrop T; Liu K; Gatica-Gutierrez H; Vargas-Hernández S; Mims N; Acevedo-Diaz A; Velasquez B; Neil D; Aguilar E; Meyer MD; Echeverria GV; Koong AC; Spiotto MT; Gustavsson AK; Schüler E,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Modeling & Mechanisms,10.1016/j.ijrobp.2026.07.006,,https://pubmed.ncbi.nlm.nih.gov/42448000/
42444799,2026,Advances in the prevention and treatment of radiation-induced brain necrosis: a narrative review.,Zhao Z; He W; Xia J; Wang X; Liao G,Frontiers in oncology,Reviews & Consensus,Reviews & Consensus; Radiobiology,10.3389/fonc.2026.1780434,PMC13357182,https://pubmed.ncbi.nlm.nih.gov/42444799/
42443232,2026,"FLASH effect tissue sparing comparison for X-ray, hadron, and VHEE irradiation modalities.",Ibrahimi A; Both S; van Goethem MJ; Romano F; Gerbershagen A,Scientific reports,Radiobiology,Radiobiology; Beam Delivery & Technology; Modeling & Mechanisms,10.1038/s41598-026-46934-8,PMC13365477,https://pubmed.ncbi.nlm.nih.gov/42443232/
42441406,2026,Sustained AMPAR expression in CA3 neurons may mediate neuroprotection following FLASH-RT.,Kunz LV; Almeida A; Knol M; Petit B; Kramár EA; Wood MA; Limoli CL; Vozenin MC,Cell reports,Radiobiology,Radiobiology,10.1016/j.celrep.2026.117670,,https://pubmed.ncbi.nlm.nih.gov/42441406/
42436803,2026,PROTAC-based nanoassemblies targeting BRD4 for potentiate FLASH radiosensitization therapy.,Xu R; Han X; Sun Y; Ma C; Liao S; Tang R; Pu Y; Zheng X; Zhang J; Yang W; Li X; Yang Z,Materials today. Bio,Radiobiology,Radiobiology; Beam Delivery & Technology; Modeling & Mechanisms,10.1016/j.mtbio.2026.103422,PMC13355409,https://pubmed.ncbi.nlm.nih.gov/42436803/
42431635,2026,"Effects of Partial-body, Continuous/Pulse Irradiation at Dose Rates from Flash to Conventional Rates on the Level of Surviving Blood Lymphocytes: Modeling Approach. III. Lymphocyte Survival Is a Biomarker of Flash Sparing Effects.",Cucinotta FA; Smirnova OA,Radiation research,Radiobiology,Radiobiology; Modeling & Mechanisms,10.1667/RADE-25-00134.1,,https://pubmed.ncbi.nlm.nih.gov/42431635/
42431271,2026,FLASH radiation therapy mitigates immunogenic and pro-fibrotic transcriptomic responses in healthy lung tissue.,Arrigo A; Brants L; Vanreusel V; Stevens P; Colijn A; Meijnders P; Verellen D; Poortmans P; Wouters A; Gasparini A; Montay-Gruel P,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2026.111689,,https://pubmed.ncbi.nlm.nih.gov/42431271/
42413926,2026,The FLASH Effect in 3D and 2D Models: Preserving Tumor Control while Reducing Apoptosis in Normal Cells.,Scarmelotto A; Lambert E; Delprat V; Koumeir C; Michiels C; Lucas S; Heuskin AC,Radiation research,Radiobiology,Radiobiology,10.1667/RADE-25-00051,,https://pubmed.ncbi.nlm.nih.gov/42413926/
42409270,2026,Thick Gas Electron Multiplier-based Air Ionization Chamber for Online Dose Monitoring in Conventional and FLASH radiation therapy.,Qiu T; Yang F; Peng Y; Luo W; Wu J; Tang B; Wu K; Yang H; Ma P; Xu Z; Lang X; Li M; Li J; Wang X; Yang Y; Ji X,"International journal of radiation oncology, biology, physics",Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Clinical & Translational; Treatment Planning & Optimization,10.1016/j.ijrobp.2026.06.3079,,https://pubmed.ncbi.nlm.nih.gov/42409270/
42381116,2026,Development and evaluation of an in vivo dose-based monitoring system for electron FLASH radiation therapy.,DeFrancisco J; Richeson M; Javidtash T; Bartee C; Ma T; Kim S,Medical physics,Physics & Dosimetry,Physics & Dosimetry; Beam Delivery & Technology; Clinical & Translational,10.1002/mp.70549,PMC13320112,https://pubmed.ncbi.nlm.nih.gov/42381116/
42358739,2026,The central role of radiotherapy in remodeling the tumor immune microenvironment: mechanisms and therapeutic implications.,Yi Z; Chen N; Jiang X; Hu X,Frontiers in cell and developmental biology,Reviews & Consensus,Reviews & Consensus; Radiobiology; Modeling & Mechanisms,10.3389/fcell.2026.1868063,PMC13290856,https://pubmed.ncbi.nlm.nih.gov/42358739/
42358284,2026,One-year follow-up after fractionated ultra-high-dose-rate FLASH radiotherapy in patient with extramammary Paget disease of the scrotum.,Luo H; Yang C; Mao R; Ma L; Lei H; Chen P; Zhang Y; Xu M; Wang C; Wang Y; Wu M; Sun C; Liu H; Liu H; Ge H,Precision radiation oncology,Radiobiology,Radiobiology; Physics & Dosimetry; Clinical & Translational,10.1002/pro6.70045,PMC13292164,https://pubmed.ncbi.nlm.nih.gov/42358284/
