pmid,year,title,journal,screen_reason,url
42666142,2026,"Editorial: Advancing radioprotection: mechanisms, interventions, and therapeutic strategies.",Frontiers in pharmacology,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/42666142/
42613851,2026,Impact of millimeter-scale target motion on the precision of spatially fractionated radiation therapy using proton minibeams.,Medical physics,"spatially fractionated RT, not UHDR: spatially fractionat",https://pubmed.ncbi.nlm.nih.gov/42613851/
42595062,2026,Light-induced structural rearrangements of axitinib and their role in phototoxic responses.,Free radical biology & medicine,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/42595062/
42547911,2026,A multidisciplinary experimental and methodological investigation of electron and proton minibeams in the framework of the INFN MIRO project.,Medical physics,"spatially fractionated RT, not UHDR: minibeam",https://pubmed.ncbi.nlm.nih.gov/42547911/
42542970,2026,Treatment of Hot Flashes in Men With Prostate Cancer Undergoing Androgen Deprivation Therapy.,The Prostate,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/42542970/
42489217,2026,Flash Production of High-Purity V3.5+ Electrolyte via Electron Beam-Induced Radiolysis Under Ambient Conditions.,Angewandte Chemie (International ed. in English),off-topic sense of 'flash': vanadium electroly,https://pubmed.ncbi.nlm.nih.gov/42489217/
42488993,2026,Triplet Energy Transfer Strategy for Visible Light Activation of Bio-Based Oxime Esters in Photopolymerization and 3D Printing.,"Small (Weinheim an der Bergstrasse, Germany)",off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/42488993/
42468558,2026,Evaluation of skin dose robustness in breast radiotherapy using VMAT planning technique: a phantom-based surface dosimetry study.,Physics in medicine and biology,aperture/planning 'flash': skin-flash,https://pubmed.ncbi.nlm.nih.gov/42468558/
42464094,2026,Photographic Physi-Luminescence Assay Based on a Persistent Luminescence Nanoprobe.,Analytical chemistry,off-topic title subject: persistent luminescence,https://pubmed.ncbi.nlm.nih.gov/42464094/
42417365,2026,Tuning the size and defect chemistry of TiO2via flash nanoprecipitation for enhanced photocatalytic antibacterial activity.,Nanoscale,no radiation signal + off-topic term: nanoprecipitation,https://pubmed.ncbi.nlm.nih.gov/42417365/
42379786,2026,Utility of a Simplified Irradiator for Photosensitivity Testing in Head and Neck Photoimmunotherapy.,"In vivo (Athens, Greece)",named entity called FLASH (laser / MRI sequence / CT / product),https://pubmed.ncbi.nlm.nih.gov/42379786/
42240139,2026,Trapped Cycloadducts of 1-Azabutadienes via Microwave-Assisted Ring Opening of N-Acyl-2-azetines.,The Journal of organic chemistry,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/42240139/
42202105,2026,Preserved and Accessible: Quantifying PFAS in Formalin-Fixed and Paraffin-Embedded Tissues for Retrospective Exposure and Dose Assessment.,Environmental science & technology,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/42202105/
42175777,2026,Flash electropolishing for TEM: Reducing FIB-induced defects in tungsten with protocols for new materials.,Journal of microscopy,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/42175777/
42169279,2026,Inactivating Bacillus cereus spores with pulsed light: roles of thermal and reactive oxygen species-mediated mechanisms.,"Food research international (Ottawa, Ont.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/42169279/
42116264,2026,Simultaneous Substrate Debonding and Device Annealing of Flexible a-IGZO Thin-Film Transistors on Colorless Polyimide via Single-Shot Xenon Flash Lamp Irradiation.,Small methods,no radiation signal + off-topic term: transistor,https://pubmed.ncbi.nlm.nih.gov/42116264/
42099233,2026,Radiotherapy and cytokines: A systems view of immunotherapy and toxicity (Review).,International journal of molecular medicine,no ultra-high-dose-rate signature (rad signal=4),https://pubmed.ncbi.nlm.nih.gov/42099233/
42035343,2026,"Photofracking-Assisted Enhancement of Solid-State Photochemical Reactivity: α-Azido-5-phenyl-2,4-dienoate Derivatives.",Journal of the American Chemical Society,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/42035343/
42027150,2026,A preclinical setup for spatially fractionated radiation therapy with electrons.,Medical physics,"spatially fractionated RT, not UHDR: spatially fractionat",https://pubmed.ncbi.nlm.nih.gov/42027150/
42014222,2026,Role of PET in Radiation Oncology: A Theranostic Perspective on Detection of Radiation-Induced Complications.,PET clinics,no ultra-high-dose-rate signature (rad signal=4),https://pubmed.ncbi.nlm.nih.gov/42014222/
42005259,2026,Robustness Comparison of the Virtual Bolus Method and Robust Optimization in Postmastectomy Radiation Therapy Using Volumetric Modulated Arc Therapy.,Cureus,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/42005259/
41997581,2026,Heterolysis vs Homolysis and ortho-meta-Effects in the Photohydrolysis of Biphenylamine Photocages.,The Journal of organic chemistry,no ultra-high-dose-rate signature (rad signal=1),https://pubmed.ncbi.nlm.nih.gov/41997581/
41966903,2026,Matching the protocol to the clinical question in pediatric coronary CT - one size doesn't have to fit all.,Journal of cardiovascular computed tomography,MR/CT imaging 'FLASH': high-pitch,https://pubmed.ncbi.nlm.nih.gov/41966903/
41966138,2026,Alizarin-based soybean oil materials for the synthesis of 3D-photoprinted objects with efficient antibacterial properties.,Journal of materials chemistry. B,no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/41966138/
41960694,2026,Using deformable registration to assess dosimetric impact of variability in deep inspiration breath hold (DIBH) levels for left breast treatment.,Journal of applied clinical medical physics,aperture/planning 'flash': skin flash,https://pubmed.ncbi.nlm.nih.gov/41960694/
41935687,2026,A Practical Distributed Virtual Bolus Strategy for Motion-Robust Superficial Dose Delivery in Breast Volumetric Modulated Arc Therapy.,Practical radiation oncology,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/41935687/
