pmid,year,title,journal,screen_reason,url
42542970,2026,Treatment of Hot Flashes in Men With Prostate Cancer Undergoing Androgen Deprivation Therapy.,The Prostate,off-topic sense of 'flash': hot flash,https://pubmed.ncbi.nlm.nih.gov/42542970/
42489217,2026,Flash Production of High-Purity V3.5+ Electrolyte via Electron Beam-Induced Radiolysis Under Ambient Conditions.,Angewandte Chemie (International ed. in English),off-topic sense of 'flash': vanadium electroly,https://pubmed.ncbi.nlm.nih.gov/42489217/
42488993,2026,Triplet Energy Transfer Strategy for Visible Light Activation of Bio-Based Oxime Esters in Photopolymerization and 3D Printing.,"Small (Weinheim an der Bergstrasse, Germany)",off-topic title subject: photopolymeri,https://pubmed.ncbi.nlm.nih.gov/42488993/
42468558,2026,Evaluation of skin dose robustness in breast radiotherapy using VMAT planning technique: a phantom-based surface dosimetry study.,Physics in medicine and biology,aperture/planning 'flash': skin-flash,https://pubmed.ncbi.nlm.nih.gov/42468558/
42464094,2026,Photographic Physi-Luminescence Assay Based on a Persistent Luminescence Nanoprobe.,Analytical chemistry,off-topic title subject: persistent luminescence,https://pubmed.ncbi.nlm.nih.gov/42464094/
42417365,2026,Tuning the size and defect chemistry of TiO2via flash nanoprecipitation for enhanced photocatalytic antibacterial activity.,Nanoscale,no radiation signal + off-topic term: nanoprecipitation,https://pubmed.ncbi.nlm.nih.gov/42417365/
42240139,2026,Trapped Cycloadducts of 1-Azabutadienes via Microwave-Assisted Ring Opening of N-Acyl-2-azetines.,The Journal of organic chemistry,off-topic sense of 'flash': flash vacuum pyrolysis,https://pubmed.ncbi.nlm.nih.gov/42240139/
42175777,2026,Flash electropolishing for TEM: Reducing FIB-induced defects in tungsten with protocols for new materials.,Journal of microscopy,curator override: manually excluded,https://pubmed.ncbi.nlm.nih.gov/42175777/
42169279,2026,Inactivating Bacillus cereus spores with pulsed light: roles of thermal and reactive oxygen species-mediated mechanisms.,"Food research international (Ottawa, Ont.)",no ultra-high-dose-rate signature (rad signal=0),https://pubmed.ncbi.nlm.nih.gov/42169279/
42116264,2026,Simultaneous Substrate Debonding and Device Annealing of Flexible a-IGZO Thin-Film Transistors on Colorless Polyimide via Single-Shot Xenon Flash Lamp Irradiation.,Small methods,no radiation signal + off-topic term: transistor,https://pubmed.ncbi.nlm.nih.gov/42116264/
42035343,2026,"Photofracking-Assisted Enhancement of Solid-State Photochemical Reactivity: α-Azido-5-phenyl-2,4-dienoate Derivatives.",Journal of the American Chemical Society,no radiation signal + off-topic term: photochem,https://pubmed.ncbi.nlm.nih.gov/42035343/
42005259,2026,Robustness Comparison of the Virtual Bolus Method and Robust Optimization in Postmastectomy Radiation Therapy Using Volumetric Modulated Arc Therapy.,Cureus,off-topic sense of 'flash': virtual bolus,https://pubmed.ncbi.nlm.nih.gov/42005259/
